SKU Accounting Flag,S.No,Notes,Keying Remarks,ATS_ID,Item ID,Terminal Node Name,PSF ID,Article,Brand,Global Description,Manufacturer Name,Manufacturer Part Number,GEDI Model Taxonomy,Manufacturer Part No,Additional Mfr Part No,Data Source Status,HTML,PT Sourced PDF,PT Sourced PDF_Page No,RS Website,RS PDF,Data Sourcing Remarks,Attrname1,AttrValue1,AttrUnit1,Attrname2,AttrValue2,AttrUnit2,Attrname3,AttrValue3,AttrUnit3,Attrname4,AttrValue4,AttrUnit4,Attrname5,AttrValue5,AttrUnit5,Attrname6,AttrValue6,AttrUnit6,Attrname7,AttrValue7,AttrUnit7,Attrname8,AttrValue8,AttrUnit8,Attrname9,AttrValue9,AttrUnit9,Attrname10,AttrValue10,AttrUnit10,Attrname11,AttrValue11,AttrUnit11,Attrname12,AttrValue12,AttrUnit12,Attrname13,AttrValue13,AttrUnit13,Attrname14,AttrValue14,AttrUnit14,Attrname15,AttrValue15,AttrUnit15,Attrname16,AttrValue16,AttrUnit16,Attrname17,AttrValue17,AttrUnit17,Attrname18,AttrValue18,AttrUnit18,Attrname19,AttrValue19,AttrUnit19,Attrname20,AttrValue20,AttrUnit20,Attrname21,AttrValue21,AttrUnit21,Attrname22,AttrValue22,AttrUnit22,Attrname23,AttrValue23,AttrUnit23,Attrname24,AttrValue24,AttrUnit24,Attrname25,AttrValue25,AttrUnit25,Attrname26,AttrValue26,AttrUnit26,Attrname27,AttrValue27,AttrUnit27,Attrname28,AttrValue28,AttrUnit28,Attrname29,AttrValue29,AttrUnit29,Attrname30,AttrValue30,AttrUnit30,Attrname31,AttrValue31,AttrUnit31,Attrname32,AttrValue32,AttrUnit32,Attrname33,AttrValue33,AttrUnit33,Attrname34,AttrValue34,AttrUnit34,Attrname35,AttrValue35,AttrUnit35,Attrname36,AttrValue36,AttrUnit36,Attrname37,AttrValue37,AttrUnit37,Attrname38,AttrValue38,AttrUnit38,Attrname39,AttrValue39,AttrUnit39,Attrname40,AttrValue40,AttrUnit40,Attrname41,AttrValue41,AttrUnit41,Attrname42,AttrValue42,AttrUnit42,Attrname43,AttrValue43,AttrUnit43,Attrname44,AttrValue44,AttrUnit44,Attrname45,AttrValue45,AttrUnit45,Attrname46,AttrValue46,AttrUnit46,Attrname47,AttrValue47,AttrUnit47,Attrname48,AttrValue48,AttrUnit48,Attrname49,AttrValue49,AttrUnit49,Attrname50,AttrValue50,AttrUnit50,Attrname51,AttrValue51,AttrUnit51,Attrname52,AttrValue52,AttrUnit52,Attrname53,AttrValue53,AttrUnit53,Attrname54,AttrValue54,AttrUnit54,Attrname55,AttrValue55,AttrUnit55,Attrname56,AttrValue56,AttrUnit56,Legacy,RS Site,Not in LOV,Decision Log Code,Fill Rate,Keying User,Overall Status
Build_011916_Altius,1,,Force Fit,ATS16011012485,14635653,Sealant Kits,PSF_435933,9159732,3M,Easy dispenser 250 Scotchcast 8882,3M Group,Scotchcast 8882 Easy dispenser 250,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Scotchcast 8882 Easy dispenser 250,8882,Found,http://solutions.3m.co.uk/wps/portal/3M/en_GB/ElectricalMkts/ElectricalSupplies/products/cable-jointing-resins/scotchcast-8882-electrical-reenterable-resin/,http://multimedia.3m.com/mws/media/603800O/3mtm-better-buried-closures-data-sheet.pdf,4,,,MFR HTML/MFR PDF,Brand,3M,,Application,Water Proof Electrical,,Kit Contents,High Gel Encapsulating Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,2,,Force Fit,ATS16011012477,14635637,Sealant Kits,PSF_435933,9159713,3M,Electrical Scotchcast Resin 40 120g,3M Group,Resin bag Scotchcast 40 120 g,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Resin bag Scotchcast 40 120 g,Resin 40,Found,,http://multimedia.3m.com/mws/media/751992O/3mtm-scotchcast-resin-kit-92-nbc-2.pdf?fn=Datasheet%2092-NBC%202.pdf|http://multimedia.3m.com/mws/media/948709O/scotchcast-resin-40-ds.pdf,1|1,,,MFR PDF,Brand,3M,,Application,Joint Movement,,Kit Contents,"Transparent Mold Shelves with Closure Cap (2), Scotchcast 40 Resin Bag with CMP, Ore-Cut Sealing Elements, Abrasive Sponge, Instruction Sheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,3,,Force Fit,ATS16011012478,14635639,Sealant Kits,PSF_435933,9159716,3M,Electrical Scotchcast Resin 40 230g,3M Group,Resin bag Scotchcast 40 230 g,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Resin bag Scotchcast 40 230 g,Resin 40,Found,,http://multimedia.3m.com/mws/media/751992O/3mtm-scotchcast-resin-kit-92-nbc-2.pdf?fn=Datasheet%2092-NBC%202.pdf|http://multimedia.3m.com/mws/media/948709O/scotchcast-resin-40-ds.pdf,1|1,,,MFR PDF,Brand,3M,,Application,Joint Movement,,Kit Contents,"Transparent Mold Shelves with Closure Cap (2), Scotchcast 40 Resin Bag with CMP, Ore-Cut Sealing Elements, Abrasive Sponge, Instruction Sheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,4,,Force Fit,ATS16011012479,14635641,Sealant Kits,PSF_435933,9159710,3M,Electrical Scotchcast Resin 40 426g,3M Group,Resin bag Scotchcast 40 426 g,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Resin bag Scotchcast 40 426 g,Resin 40,Found,,http://multimedia.3m.com/mws/media/751992O/3mtm-scotchcast-resin-kit-92-nbc-2.pdf?fn=Datasheet%2092-NBC%202.pdf|http://multimedia.3m.com/mws/media/948709O/scotchcast-resin-40-ds.pdf,1|1,,,MFR PDF,Brand,3M,,Application,Joint Movement,,Kit Contents,"Transparent Mold Shelves with Closure Cap (2), Scotchcast 40 Resin Bag with CMP, Ore-Cut Sealing Elements, Abrasive Sponge, Instruction Sheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,5,,Force Fit,ATS16011012484,14635651,Sealant Kits,PSF_435933,9159738,3M,Reenterebale Scotchcast Resin 1648ml,3M Group,Re-enterable Scotchcast Resin 8882 1648ml,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Re-enterable Scotchcast Resin 8882 1648ml,8882-1500/F,Found,http://solutions.3m.com/wps/portal/3M/en_US/NA_Communication_Technologies/Home/Products/~/3M-High-Gel-Re-enterable-Encapsulant-Volume-1-648-ml?N=7569745+4294875071&rt=rud,http://multimedia.3m.com/mws/media/603800O/3mtm-better-buried-closures-data-sheet.pdf,4,,,MFR HTML/MFR PDF,Brand,3M,,Application,Buried,,Kit Contents,High Gel Encapsulating Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,6,,Force Fit,ATS16011012483,14635649,Sealant Kits,PSF_435933,9159735,3M,Reenterebale Scotchcast Resin 8882 292ml,3M Group,Re-enterable Scotchcast Resin 8882 292ml,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Re-enterable Scotchcast Resin 8882 292ml,8882-E,Found,http://solutions.3m.com/wps/portal/3M/en_US/NA_Communication_Technologies/Home/Products/~/3M-High-Gel-Re-enterable-Encapsulant-Volume-292-ml?N=7569745+4294875073&rt=rud,http://multimedia.3m.com/mws/media/603800O/3mtm-better-buried-closures-data-sheet.pdf,4,,,MFR HTML/MFR PDF,Brand,3M,,Application,Buried,,Kit Contents,High Gel Encapsulating Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,7,,Force Fit,ATS16011012481,14635645,Sealant Kits,PSF_435933,9159722,3M,Reenterebale Scotchcast Resin 8882 385ml,3M Group,Re-enterable Scotchcast Resin 8882 385ml,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Re-enterable Scotchcast Resin 8882 385ml,8882-C,Found,http://solutions.3m.com/wps/portal/3M/en_US/NA_Communication_Technologies/Home/Products/~/3M-High-Gel-Re-enterable-Encapsulant-Volume-385-ml?N=7569745+4294875077&rt=rud,http://multimedia.3m.com/mws/media/603800O/3mtm-better-buried-closures-data-sheet.pdf,4,,,MFR HTML/MFR PDF,Brand,3M,,Application,Buried,,Kit Contents,High Gel Encapsulating Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,8,,Force Fit,ATS16011012482,14635647,Sealant Kits,PSF_435933,9159726,3M,Reenterebale Scotchcast Resin 8882 659ml,3M Group,Re-enterable Scotchcast Resin 8882 659ml,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Re-enterable Scotchcast Resin 8882 659ml,8882-D,Found,http://solutions.3m.com/wps/portal/3M/en_US/NA_Communication_Technologies/Home/Products/~/3M-High-Gel-Re-enterable-Encapsulant-Volume-659-ml?N=7569745+4294875075&rt=rud,http://multimedia.3m.com/mws/media/603800O/3mtm-better-buried-closures-data-sheet.pdf,4,,,MFR HTML/MFR PDF,Brand,3M,,Application,Buried,,Kit Contents,High Gel Encapsulating Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,9,,Force Fit,ATS16011012480,14635643,Sealant Kits,PSF_435933,9159729,3M,Reenterebale Scotchcast Resin 8882 90ml,3M Group,Re-enterable Scotchcast Resin 8882 90ml,"Adhesives, Sealants & Tapes>Sealants>Sealant Kits",Re-enterable Scotchcast Resin 8882 90ml,8882-A,Found,http://solutions.3m.com/wps/portal/3M/en_US/NA_Communication_Technologies/Home/Products/~/3M-High-Gel-Re-enterable-Encapsulant-Volume-90-ml?N=7569745+4294875079&rt=rud,http://multimedia.3m.com/mws/media/603800O/3mtm-better-buried-closures-data-sheet.pdf,4,,,MFR HTML/MFR PDF,Brand,3M,,Application,Buried,,Kit Contents,High Gel Encapsulating Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Bhuvanesh S,Completed
Build_011916_Altius,10,,"<Reset Actuator Type>Based on Image, <Overall Depth> Captured without Actuator",ATS16011012555,14637445,Residential RCCBs,PSF_419276,9160397,Europa,2 pole earth fault device 100A 100mA,Europa Components Ltd,EUR1100.100/2,Automation & Control Gear>Circuit Protection & Circuit Breakers>Circuit Breakers>Residential RCCBs,EUR1100.100/2,,Found,https://www.europacomponents.com/product-rccb-2-pole-6ka.html,https://www.europacomponents.com/pdfs/EUR1.pdf,1,,,MFR HTML/MFR PDF,Brand,Europa,,Series,,,Number of Poles,2,,Tripping Mechanism,,,Current Rating,100,A,Trip Sensitivity,100,mA,Break Time,Time Delayed,,Tripping Characteristics,Type A;Type C,,Breaking Capacity (at Max Voltage Rating),6,kA,Rated AC Voltage,230 to 400,V,Rated DC Voltage,,,Overall Length,36,mm,Overall Width,,,Overall Depth,66,mm,Mounting Style,DIN Rail Mount,,Overall Dimensions,,,Reset Actuator Type,Toggle Switch,,Terminal Contact Type,Screw,,Circuit Breaker Type,RCCB,,Mounting Hole Size,,,Application,Residential,,Special Features,Residual Current Circuit Breaker (RCCB) Providing Earth Fault Safety Protection,,Mounting Hole Diameter,,,Mounting Hole Length,,,Mounting Hole Width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Bhuvanesh S,Completed
