Item ID	QA_Manufacturer Name	Value
00125013	DYMO CORPORATION	DYMO
00125088	DYMO CORPORATION	DYMO
00125187	DYMO CORPORATION	DYMO
00125286	DYMO CORPORATION	DYMO
00125617	DYMO CORPORATION	DYMO
00125625	DYMO CORPORATION	DYMO
00125633	DYMO CORPORATION	DYMO
00126169	DYMO CORPORATION	DYMO
00126177	DYMO CORPORATION	DYMO
00126185	DYMO CORPORATION	DYMO
00127001	DYMO CORPORATION	DYMO
00127019	DYMO CORPORATION	DYMO
00127027	DYMO CORPORATION	DYMO
00127035	DYMO CORPORATION	DYMO
00127043	DYMO CORPORATION	DYMO
00127050	DYMO CORPORATION	DYMO
00127068	DYMO CORPORATION	DYMO
00127076	DYMO CORPORATION	DYMO
00127084	DYMO CORPORATION	DYMO
00127092	DYMO CORPORATION	DYMO
00226951	MHC TRADING CO (MEASURING)	#NA
00227355	MHC TRADING CO (MEASURING)	#NA
00274019	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274027	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274035	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274043	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274050	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274068	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274076	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274084	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274092	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274100	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274118	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274126	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274134	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274142	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274159	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274167	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274175	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274183	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274191	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274209	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274217	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274225	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274233	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274241	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274258	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274266	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274274	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274282	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274290	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274308	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274316	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274324	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274332	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274340	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274357	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274365	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274373	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274381	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274399	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274407	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274415	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274423	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274431	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274449	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274456	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274464	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274472	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274480	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274498	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274506	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274514	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274522	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274530	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274548	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274555	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274563	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274571	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274589	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274597	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274605	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274613	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274621	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274639	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274647	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274654	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274662	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274670	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274688	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274696	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274704	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274712	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274720	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274738	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274746	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274753	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274761	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274779	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274787	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274795	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274803	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274811	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274829	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274837	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274845	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274852	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274860	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274878	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
00274886	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274894	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274902	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274910	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274928	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274936	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274944	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274951	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274969	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274977	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274985	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00274993	SCIENTIFIC CUTTING TOOLS, INC.	SCIENTIFIC CUTTING TOOLS INC
00389262	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389270	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389288	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389296	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389304	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389312	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389320	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389338	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389346	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389353	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389361	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389379	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389387	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389395	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389403	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389411	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389429	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389437	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389445	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389452	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389460	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389478	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389486	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389494	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389502	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389510	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389528	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389536	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389544	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389551	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389569	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389577	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389585	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389593	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389601	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389619	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389627	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389635	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389643	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389650	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389668	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389676	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389684	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389692	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389700	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389718	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389726	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389734	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389742	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389759	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389767	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389775	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389783	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389791	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389809	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389817	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389825	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389833	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389841	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389858	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389866	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389874	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389882	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389890	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389908	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389916	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389924	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389932	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389940	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389957	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389965	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389973	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389981	CRAIG TOOLS INC.	CRAIG TOOLS INC
00389999	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390005	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390013	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390021	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390039	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390047	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390054	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390062	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390070	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390088	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390096	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390104	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390112	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390120	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390138	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390146	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390153	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390161	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390179	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390187	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390195	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390203	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390211	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390229	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390237	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390245	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390252	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390260	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390278	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390286	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390294	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390302	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390310	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390328	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390336	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390344	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390351	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390369	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390377	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390385	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390393	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390401	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390419	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390427	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390435	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390443	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390450	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390468	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390476	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390484	CRAIG TOOLS INC.	CRAIG TOOLS INC
00390492	CRAIG TOOLS INC.	CRAIG TOOLS INC
00468405	MHC TRADING CO (MEASURING)	#NA
